home_team,away_team,home_odds,draw_odds,away_odds
Mexico,South Africa,1.4,4.5,8.5
South Korea,Czechia,2.6,3.1,2.9
Canada,Bosnia and Herzegovina,1.8,3.5,4.75
Australia,Turkey,5.23,3.86,1.737
United States,Paraguay,2.05,3.3,3.8
Haiti,Scotland,6,4.5,1.5
Brazil,Morocco,1.685,3.8,5.5
Qatar,Switzerland,15,7.5,1.18
Ivory Coast,Ecuador,3.4,2.88,2.45
Germany,Curaçao,1.04,17,29
Netherlands,Japan,2,3.4,3.75
Sweden,Tunisia,1.8,3.5,4.5
Belgium,Egypt,1.53,4.2,6.5
Iran,New Zealand,1.8,3.5,4.5
Spain,Cape Verde,1.606,15,23
Saudi Arabia,Uruguay,7.5,4.2,1.45
Mexico ,South Korea,2.05,3.25,3.9
Canada,Qatar,1.27,5.75,11
Switzerland,Bosnia and Herzegovina,1.55,4,6.25
Czechia,South Africa,1.85,3.6,4.2
Uzbekistan,Colombia ,10,5,1.33
Ghana,Panama,2.35,3.2,3.1
England,Croatia,1.67,3.9,5.25
Portugal,DR Congo,1.29,5.25,11
Austria,Jordan,1.38,4.75,8.5
Argentina,Algeria,1.5,4.2,7
Iraq,Norway,12,6.5,1.22
France,Senegal ,1.45,4.6,7